"tier","scenario_family","scenario_name","layer","world","condition","task","model","feature","n_jobs_selected"
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k5_nondisjoint","temporal_theta_D30",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","temporal_theta_D30",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_D30",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","kTSP_k5_nondisjoint","temporal_theta_D40",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_D40",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_D40",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_D50",4
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_D50",22
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_D60",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","temporal_theta_D80",4
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","temporal_theta_D80",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_D80",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_D80",5
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_FTD_vs_CN","kTSP_k5_nondisjoint","temporal_theta_D90",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","temporal_theta_D90",4
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","temporal_theta_D90",2
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","kTSP_k9_disjoint","temporal_theta_D90",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","temporal_theta_D90",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","CN_vs_FTD","kTSP_CV_disjoint","temporal_theta_lower_tail",10
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","CN_vs_FTD","kTSP_k5_disjoint","temporal_theta_lower_tail",1
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_FTD_vs_CN","kTSP_k5_nondisjoint","temporal_theta_lower_tail",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","kTSP_k5_nondisjoint","temporal_theta_lower_tail",10
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k5_nondisjoint","temporal_theta_lower_tail",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","temporal_theta_lower_tail",62
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","temporal_theta_lower_tail",4
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","kTSP_k9_disjoint","temporal_theta_lower_tail",63
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","temporal_theta_lower_tail",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_lower_tail",10
