"split_family","condition","task","repeat_id","positive_class","negative_class","n","tp","tn","fp","fn","accuracy","macro_f1","balanced_accuracy","mcc","precision_positive","recall_positive","f1_positive","support_positive","precision_negative","recall_negative","f1_negative","support_negative"
"P1","ds004504__EC","AD_vs_CN",9,"AD","CN",65,28,9,20,8,0.569230769230769,0.528985507246377,0.544061302681992,0.0996764354360326,0.583333333333333,0.777777777777778,0.666666666666667,36,0.529411764705882,0.310344827586207,0.391304347826087,29
"P1","ds004504__EC","AD_vs_CN",10,"AD","CN",65,29,7,22,7,0.553846153846154,0.496124031007752,0.523467432950192,0.0567540325338193,0.568627450980392,0.805555555555556,0.666666666666667,36,0.5,0.241379310344828,0.325581395348837,29
"P1","ds004504__EC","AD_vs_CN",11,"AD","CN",65,26,13,16,10,0.6,0.583333333333333,0.585249042145594,0.177247937271231,0.619047619047619,0.722222222222222,0.666666666666667,36,0.565217391304348,0.448275862068966,0.5,29
"P1","ds004504__EC","AD_vs_CN",12,"AD","CN",65,27,5,24,9,0.492307692307692,0.426623897353649,0.461206896551724,-0.0938178905150891,0.529411764705882,0.75,0.620689655172414,36,0.357142857142857,0.172413793103448,0.232558139534884,29
"P1","ds004504__EC","AD_vs_CN",13,"AD","CN",65,26,6,23,10,0.492307692307692,0.43921568627451,0.46455938697318,-0.0817943751494157,0.530612244897959,0.722222222222222,0.611764705882353,36,0.375,0.206896551724138,0.266666666666667,29
"P1","ds004504__EC","AD_vs_CN",14,"AD","CN",65,25,10,19,11,0.538461538461538,0.5125,0.51963601532567,0.0417443421874039,0.568181818181818,0.694444444444444,0.625,36,0.476190476190476,0.344827586206897,0.4,29
"P1","ds004504__EC","AD_vs_CN",15,"AD","CN",65,26,9,20,10,0.538461538461538,0.504573170731707,0.516283524904215,0.0355936848955949,0.565217391304348,0.722222222222222,0.634146341463415,36,0.473684210526316,0.310344827586207,0.375,29
"P1","ds004504__EC","AD_vs_CN",16,"AD","CN",65,29,8,21,7,0.569230769230769,0.519027484143763,0.540708812260536,0.0960589963462815,0.58,0.805555555555556,0.674418604651163,36,0.533333333333333,0.275862068965517,0.363636363636364,29
"P1","ds004504__EC","AD_vs_CN",17,"AD","CN",65,25,13,16,11,0.584615384615385,0.569958343543249,0.571360153256705,0.147007153988086,0.609756097560976,0.694444444444444,0.649350649350649,36,0.541666666666667,0.448275862068966,0.490566037735849,29
"P1","ds004504__EC","AD_vs_CN",18,"AD","CN",65,34,2,27,2,0.553846153846154,0.411121524523586,0.506704980842912,0.0277384936713193,0.557377049180328,0.944444444444444,0.701030927835051,36,0.5,0.0689655172413793,0.121212121212121,29
