"split_family","condition","task","metric","n_repeats","repeat_mean","repeat_sd","repeat_median","repeat_iqr","repeat_min","repeat_max","comparison_policy"
"P0","ds006036__EO_or_photomark","AD_vs_CN","macro_f1",20,0.508243035203928,0.0442168972478063,0.50984477124183,0.0730762243802076,0.438516260162602,0.583440143552935,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_vs_CN","balanced_accuracy",20,0.527274904214559,0.0351503907861278,0.524904214559387,0.0580699233716475,0.454022988505747,0.592432950191571,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_vs_CN","mcc",20,0.0610190208332263,0.0779965790194708,0.0548478213132701,0.142481888876748,-0.100499816175797,0.205362847808419,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_vs_CN","precision_positive",20,0.572982758759207,0.0247161187165592,0.570197044334975,0.0410975802313189,0.521739130434783,0.617021276595745,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_vs_CN","recall_positive",20,0.759722222222222,0.0613068370176379,0.75,0.0625000000000001,0.666666666666667,0.916666666666667,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_vs_CN","f1_positive",20,0.652130384354255,0.0284757231187413,0.651424091978051,0.0313725490196077,0.585365853658537,0.702127659574468,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_vs_CN","precision_negative",20,0.496113858014602,0.0652669984830175,0.489130434782609,0.1125,0.368421052631579,0.611111111111111,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_vs_CN","recall_negative",20,0.294827586206897,0.08555104419454,0.293103448275862,0.137931034482759,0.137931034482759,0.448275862068966,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_vs_CN","f1_negative",20,0.364355686053601,0.0807159912909559,0.365277777777778,0.118037825059102,0.222222222222222,0.490566037735849,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_vs_CN","accuracy",20,0.57,0.0375105092717192,0.576923076923077,0.0499999999999999,0.492307692307692,0.615384615384615,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_vs_CN","macro_f1",20,0.53614759408177,0.0448255888997861,0.539639938308085,0.0530980684327652,0.450140989489874,0.606060606060606,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_vs_CN","balanced_accuracy",20,0.548443486590038,0.0393881402597316,0.552681992337165,0.048132183908046,0.467911877394636,0.605842911877395,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_vs_CN","mcc",20,0.106393142417505,0.0852088146626846,0.121917367280481,0.117531355634161,-0.071291765819503,0.214794445680689,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
